"id_fish";"fish"
0;"Не определен"
1;"макруронус"
2;"Рыбы и морепродукты"
3;"Рыбы"
4;"сельди"
5;"сардины"
6;"шпрот (килька)"
7;"хамса"
8;"нототении"
9;"лещи"
10;"клыкачи"
11;"карповые"
12;"окунеобразные"
13;"тунцы"
14;"камбалы"
15;"палтусы"
16;"тресковые"
591;"прочие  морские рыбы"
18;"пресноводные"
19;"крупный частик"
20;"Беспозвоночные"
21;"ракообразные"
22;"дрепана"
23;"крабы"
24;"креветки и шримсы"
25;"моллюски"
26;"кальмары"
27;"муксун"
28;"иглокожие"
29;"Водоросли и морские травы"
30;"морские караси"
31;"омуль"
32;"Киты и китообразные"
33;"мидии и устрицы"
34;"Улов морепродуктов во внутренних водоемах"
35;"в том числе водорослей"
36;"гладкоголов"
37;"ежи морские"
38;"пелядь"
45;"аргентина"
53;"моллюски двуствор."
59;"хариус"
60;"линь"
62;"жерех"
65;"густера"
71;"треска ярусная"
72;"кораллы"
88;"окунь-клювач"
90;"зубан"
96;"плотва"
100;"сазан"
101;"амур"
102;"вобла"
104;"щука"
105;"берш"
107;"окунь пресноводный"
108;"сом пресноводный"
109;"акулы колючие (белоглазая)"
110;"налим"
111;"сиг"
112;"палтус белокорый"
113;"палтус черный"
114;"палтус стрелозубый"
128;"хамса черноморская"
144;"скаты"
145;"белуга"
156;"осетровые"
157;"сардинелла"
166;"сельдь"
184;"севрюга"
203;"сельдь атлантическо-скандинавская"
205;"помолобус"
210;"макрурусы"
221;"синец"
224;"морские гребешки"
228;"шпрот"
229;"шпрот черноморский"
233;"тюлька"
247;"лососевые"
249;"горбуша"
251;"кижуч"
252;"нерка"
253;"сима"
254;"чавыча"
256;"лососевые т-о"
265;"сельдь-черноспинка"
280;"кунджа"
285;"тунец длинноперый альбакор"
286;"пеламида"
288;"ряпушка"
290;"сиговые"
292;"треска"
294;"краб-стригун опилио"
302;"корюшка"
303;"колюшка трехиглая"
318;"толстолобики"
321;"кабан-рыба (пристипома)"
341;"миноги"
346;"рыбец (сырть)"
354;"чехонь"
359;"морской язык"
365;"сомы морские"
371;"песчанки"
375;"угорь речной"
377;"налим морской"
389;"креветка равнолапая пластинчатая"
394;"креветка"
399;"мерланг"
400;"минтай"
401;"мольва (морская щука)"
403;"навага"
408;"пикша"
410;"сайда"
411;"сайка"
412;"бестер"
419;"тресковые проч."
431;"солнечник"
434;"берикс"
438;"капродон"
444;"анфельция"
469;"тунец макрелевый"
477;"судак"
493;"зостера"
512;"ставрида"
514;"ракушечник"
524;"парго"
537;"умбрина"
540;"форель"
545;"отоперка"
556;"карась морской"
558;"кета"
569;"осетр"
575;"барабуля"
580;"сладкогуб"
590;"мелочь 1-3гр."
598;"нототении проч."
599;"нототения мраморная"
601;"сквама"
615;"Млекопитающие"
627;"снэк"
631;"сабля-рыба"
639;"кукумария"
640;"калуга"
647;"стерлядь"
651;"лосось балтийский"
652;"тунцы крупные"
653;"тунец длиннохвостый"
654;"тунец желтоперый"
656;"тунец сине-голубой"
657;"тунец полосатый скипджек"
658;"тунцы малые"
659;"тунец большеглазый"
660;"спинороги"
670;"чир"
672;"масляная"
677;"бычки"
683;"окунь морской"
685;"рипус"
686;"медузы"
687;"асцидии"
688;"зеленоглазки"
692;"терпуги"
696;"угольная рыба"
708;"уклея обыкновенная"
711;"красноперка"
712;"прочий мелкий частик"
713;"камбала"
714;"камбала-ерш"
715;"камбала-тюрбо"
717;"камбала речная"
728;"палтусы (белокорый, черный)"
729;"палтус синекорый"
732;"сиговые прочие"
736;"лосось стальноголов"
738;"сардина (сардинопс)"
745;"лещ пресн."
751;"карповые проч."
753;"эпигонус"
755;"хамса азовская"
757;"тунец пятнистый"
759;"ариомма"
760;"лемонема"
766;"этелис"
767;"баркус"
771;"каспийский тюлень"
776;"сардинопс"
779;"менек"
811;"раки"
812;"лангусты"
821;"морской еж серый"
824;"осьминоги"
825;"спизула"
829;"ежи морские проч."
841;"краб-стригун"
843;"краб-стригун таннери"
844;"краб-стригун ангулятус"
847;"краб синий"
848;"краб колючий"
849;"краб равношипый"
850;"краб мохнаторукий"
853;"краб-стригун бэрди"
859;"креветка северная"
860;"креветка углохвостая"
861;"креветка гребенчатая"
862;"креветка травяная"
863;"креветка гренландская"
864;"креветка виноградная"
866;"шримсы-медвежата"
870;"омары"
872;"кальмар-иллекс"
881;"антарктический криль"
883;"ерш длинноперый"
886;"краб-стригун красный"
887;"кальмар тихоокеанский"
888;"кальмар командорский"
889;"кальмары прочие"
891;"мавроликус"
894;"кальмар Бартрама"
899;"бекасы"
902;"язь"
904;"миктофиды"
913;"электрона Карлсберга"
926;"карп"
927;"трубачи"
935;"иглокожие проч."
937;"трепанги"
938;"голотурии прочие"
940;"морской еж черный"
941;"прочие моллюски"
943;"корбикула"
944;"морской еж палевый"
947;"водоросли бурые"
949;"ламинарии"
955;"кефаль"
957;"ленок"
959;"каракатица"
960;"карась"
964;"фукусы"
965;"тригла"
967;"обыкновенный тюлень (ларга)"
968;"кольчатая нерпа (акиба)"
969;"морж"
972;"котик морской"
977;"лисички"
978;"ликоды"
979;"полинемус"
980;"саурида"
981;"змееголов"
982;"краб волосатый"
983;"краб коуэзи"
984;"краб камчатский"
985;"крупный частик"
987;"мелкий частик"
988;"полосатый тюлень (крылатка)"
989;"морской заяц (лахтак)"
990;"косатки"
991;"водоросли красные"
992;"белуха"
993;"лахтак"
994;"нототения желтоперая (желтоперка)"
995;"акиба"
996;"серебрянки"
997;"буффало"
998;"красноперки-угаи дальневосточные"
900;"тюлени"
905;"сивуч"
906;"калан"
907;"лев морской"
908;"хохлач"
911;"ламантин"
912;"дюгонь"
914;"корова морская(корова Стеллерова,капустница)"
915;"леопард морской"
910;"прочие млекопитающие"
501;"серрипес"
916;"белобокий дельфин тихоокеанский"
917;"афалина"
801;"мизиды"
204;"сельдь тихоокеанская"
884;"скорпена"
885;"петух морской"
882;"пинагор"
880;"шипощек"
845;"краб каменный"
846;"краб многошипый"
852;"краб травяной"
936;"рапана"
939;"улитка морская"
928;"ушко морское"
148;"шип"
146;"осетровые проч. нераспределенные"
655;"тунец скумбриевидный"
879;"атерина"
701;"белоглазка"
702;"верхогляд"
703;"голавль"
704;"гольяны"
705;"елец"
719;"шемая"
706;"конь"
709;"османы"
710;"пескарь"
716;"подуст"
718;"чукучан"
470;"бычок пресноводный"
471;"вьюны"
945;"морской еж многоиглый"
946;"морской еж зеленый"
948;"плоские ежи"
986;"краб веррилла"
103;"таймень"
106;"пресноводные рыбы в прилове"
185;"килька анчоусовидная"
187;"килька большеглазая"
291;"сельдь долгинская"
295;"пузанок большеглазый"
293;"пузанок каспийский"
730;"камбала полярная"
733;"камбала-калкан"
610;"зубатка синяя"
614;"зубатка пятнистая"
616;"зубатка полосатая"
147;"окунь золотистый"
149;"перкарина"
124;"сельдь чешско-печорская"
126;"сельдь беломорская"
552;"осетр русский"
557;"осетр персидский"
559;"осетр сибирский"
570;"осетр амурский"
508;"ставрида морская"
510;"ставрида океаническая"
592;"прочие океанические"
472;"лобан"
183;"пиленгас"
956;"кефалевые"
115;"акула полярная"
116;"рыба-собака"
39;"кутум"
802;"понтогаммарус"
99003;"другие виды"
222;"сардина иваси"
243;"анчоусы"
966;"акулы, скаты"
125;"акулы"
727;"акула-катран"
167;"сельдь черноморско-азовская (проходная)"
117;"акула короткошипая"
378;"налим нитеперый"
91;"удильщик (морской черт)"
761;"мора"
97;"химера европейская"
150;"скат звездчатый"
151;"скат черноморский"
721;"камбала морская"
678;"бычок азовский"
402;"окунь тихоокеанский"
404;"смарида"
374;"песчанка европейская"
188;"килька обыкновенная"
511;"ставрида капская"
515;"ставрида кунене"
516;"ставрида черноморская"
211;"макрурус тупорылый"
212;"макрурус северный"
213;"мерлуза"
376;"налим морской белый"
379;"налим морской красный"
373;"щука голубая"
206;"конь губарь"
207;"конь пестрый"
208;"краснопер монгольский"
209;"язь амурский"
248;"кумжа (форель)"
244;"мальма"
297;"сиг-пыжьян"
867;"шримс"
40;"пресноводные ракообразные"
42;"пресноводные ракообразные прочие"
950;"цистозира"
650;"тунцы"
214;"молодь лососевых"
826;"мерценария Стимпсона"
827;"мактра"
173;"сельдь балтийская (салака)"
1000;"прочие морские рыбы"
123;"снеток"
645;"скумбрия"
756;"сайра"
304;"мойва"
762;"моровые рыбы"
56;"корифена"
57;"лист"
258;"джакас"
296;"сериолы"
340;"мероу"
372;"гипероглиф"
386;"сарган"
442;"барракуды"
487;"луфарь"
489;"нигрита"
492;"нитеперы"
500;"красноглазка"
507;"вомер"
509;"сериолелла"
521;"луцианы(лутьяны)"
535;"горбылевые(сциеновые)"
541;"горбыли капитанские"
546;"помадазис"
551;"кабан-рыба"
579;"летрин"
588;"губановые"
613;"бельдюга"
669;"меч-рыба"
741;"каранкс"
878;"лихия"
970;"пагрус"
41;"ледяная рыба"
43;"скумбрия, макрели"
637;"макрели"
44;"корюшковые"
46;"ставридовые"
89;"окунь американский"
822;"сердцевидка"
298;"сельдь малопозвонковая"
828;"прочие двустворчатые"
82;"большеголов"
54;"серый кит"
55;"гренландский кит"
118;"групер"
432;"пилобрюх атлантический"
119;"паломета"
803;"гаммарус"
901;"артемии"
909;"артемии всего"
831;"осьминог Дофлейна гигантский"
832;"осьминог Дофлейна малый"
833;"осьминог песчаный"
47;"косатковые"
120;"косатка-скрипун китайская"
121;"косатка-плеть (уссурийская косатка)"
367;"угорь морской"
122;"модиолус"
445;"амур черный"
446;"амур белый"
366;"белорыбица"
447;"валек"
448;"верховка"
449;"гольцы (пресноводные жилые формы)"
450;"камбала-глосса"
451;"камбалы дальневосточные"
452;"карась серебряный"
453;"кефали (сингиль, лобан, остронос)"
454;"колюшка девятииглая"
455;"корюшка европейская"
456;"корюшка европ., снеток (пресн. жилая форма)"
457;"корюшка азиатская зубастая"
458;"корюшка малоротая"
459;"корюшка малоротая японская"
461;"кумжа (форель) (пресноводная жилая форма)"
462;"лещ (жилая форма)"
463;"лещи амурские"
464;"лосось озерный"
465;"микижа (пресноводная жилая форма)"
467;"нельма"
466;"налим морской четырехусый"
468;"омуль арктический"
478;"омуль байкальский"
479;"палия"
480;"ротан"
481;"рыбец, сырть (жилая форма)"
482;"сазан (жилая форма)"
483;"сиг (пресноводная жилая форма)"
485;"судак (жилая форма)"
486;"тарань"
420;"тугун"
421;"уклей"
422;"чехонь (жилая форма)"
423;"чир (пресноводная жилая форма)"
424;"гренландский тюлень (детеныши до года)"
425;"шримсы козырьковые"
895;"прочие ракообразные"
942;"анадара"
427;"глицимерис"
428;"макома"
429;"мия"
430;"кальмар курильский"
560;"кальмар светлячок"
561;"кальмар-стрелка"
562;"перонидия"
563;"петушок"
564;"скафарка"
565;"бадяга"
804;"хирономиды"
566;"хаобариды (коретра)"
567;"лессония ламинаревидная"
568;"циматера"
999;"прочие водоросли и травы"
641;"калуга (зейско-буреинская популяция)"
684;"китайский окунь (ауха)"
839;"краб волосатый четырехугольный"
840;"краб волосатый пятиугольный"
961;"трепанг дальневосточный"
1010;"Особо ценные виды"
1011;"Особо ценные рыбы"
1020;"Ценные виды"
1021;"Ценные рыбы"
257;"лосось атлантический (семга)"
1022;"Ценные беспозвоночные"
1023;"Ценные моллюски"
1024;"Ценные иглокожие"
805;"морской монах"
132;"горбушка"
127;"сазан амурский"
129;"сом амурский"
319;"толстолобик белый"
320;"толстолобик пестрый"
131;"щука амурская"
439;"лещ"
158;"гадикул (большеглазая тресочка)"
299;"усачи"
722;"востробрюшки"
215;"желтопер"
390;"креветка равнолапая полосатая"
391;"креветка равнолапая японская"
823;"каллиста"
830;"силиква"
962;"челльманиелла"
798;"уклейка"
305;"колюшка морская"
820;"каллитака"
868;"креветка черноморская травяная"
130;"крабы антарктические"
58;"моллюски брюхоногие"
48;"моллюски головоногие"
98;"дельфин-белобочка"
133;"рыба-лапша"
169;"алоза европейская"
171;"ботрокарина малоголовая"
175;"быстрянка"
177;"вераспер"
179;"волосозуб японский"
190;"голец усатый"
193;"голомянки"
195;"горбыль светлый"
197;"горбыль темный"
199;"горчаки"
201;"желтокрылки"
325;"камбала-гладкий ромб"
329;"китайский чебачок"
333;"люмпен колючий"
337;"налим средиземноморский"
339;"пузанок азовский"
343;"сельдь аграханская"
348;"сельдь пятнистая"
352;"тресочка Эсмарка"
356;"улька"
361;"белокрылая морская свинья"
363;"бесперая морская свинья"
369;"кашалот"
381;"крупнозубый дельфин"
383;"малый полосатик (минке)"
388;"морская свинья"
392;"креветка равнолапая алеутская"
396;"полосатый продельфин"
