"id_prod_type";"prod_type";"id_fish";"prod_type_full"
6060;"Рыба охлажденная";2;"рыба охлажденная"
9420;"альгинат натрия";29;"альгинат натрия"
6010;"Пряный посол и маринады";2;"пряный посол и маринады"
6490;"икра прочих рыб";2;"икра прочих рыб"
8302;"Рыба, морепродукты и отходы от разделки рыбы для зверохозяйс";2;"рыба морепродукты и отходы от разделки рыбы для зверохозяйств"
6302;"Рыба копченая";2;"рыба копченая"
7001;"Консервы рыбные";2;"консервы рыбные"
1052;"код отсутствует";0;"1 вид продукции,  отсутст.в кодификаторе"
8300;"продукция кормовая";2;"продукция кормовая"
0;"не определена";0;"не определена"
8971;"шкуры морского зверя";2;"шкуры морского зверя"
8970;"шкуры морского зверя";2;"шкуры морского зверя"
8902;"продукты непищевые прочие";2;"продукты непищевые прочие"
8493;"маннит";29;"маннит"
8410;"агар, агароид";29;"агар,агароид"
8372;"мясо морского зверя кормовое";2;"мясо морского зверя кормовое"
8310;"продукция кормовая из рыбы";2;"продукция кормовая из рыбы"
8311;"фарш кормовой";2;"фарш кормовой"
8200;"мука кормовая рыбная и китовая";2;"мука кормовая рыбная и китовая"
8112;"жир ветеринарный";2;"жир ветеринарный"
8111;"жир медицинский";2;"жир медицинский"
8110;"жир рыбий, китовый и морского зверя";2;"жир рыбий, китовый и морского зверя"
8000;"продукция пищевая, кормовая и техническая прочая";2;"продукция пищевая, кормовая и техническая прочая"
7400;"пресервы из морепродуктов";2;"пресервы из морепродуктов"
7300;"консервы из морепродуктов";2;"консервы из морепродуктов"
7200;"пресервы рыбные (консервы рыбные нестерилизуемые)";2;"пресервы рыбные (консервы рыбные нестерилизуемые)"
8115;"жир технический";1000;"жир технический"
7160;"консервы рыбные прочие";2;"консервы рыбные прочие"
7133;"консервы лососевые";2;"консервы лососевые"
7132;"консервы крабовые";2;"консервы крабовые"
7130;"консервы натуральные";2;"консервы натуральные"
9003;"ТРЕСКА КРУПНАЯ ПОТРОШЕНАЯ БГ СР/СОЛ 2С";292;"треска крупная потрошеная без головы среднесоленая 2 сорт"
10009;"КАРАСЬ МОРОЖ ОК.Н/РАЗ К.";556;"карась мороженый океанический неразделанный короб"
7120;"консервы в томатном соусе";2;"консервы в томатном соусе"
7110;"консервы в масле";2;"консервы в масле"
5025;"АРГЕНТИНА НЕРАЗДЕЛАННАЯ МОРОЖЕНАЯ";45;"аргентина неразделанная мороженая"
5024;"АЛЬБУЛА МОРОЖЕHАЯ HЕРАЗДЕЛАHHАЯ 1С";1000;"альбула мороженая неразделанная 1с"
