"id_region";"region"
7010;"Бирма"
7009;"Бенин"
7008;"Бельгия"
7007;"Барбадос"
7006;"Бангладеш"
7004;"Аргентина"
7005;"БМ"
7003;"Ангола (НРА)"
7002;"Алжир (Эль-Джезаир)"
7001;"Австралия"
3999;"порт РФ"
3327;"Рачжин (Наджин)КНДР/"
3326;"Хабаровск/ДВ/"
3325;"Владив.торговый порт/ДВ/"
3322;"Мысовой/ДВ/"
3321;"П-Камч.торговый порт/ДВ/"
3320;"Северо-Эвенск/ДВ/"
3319;"Северодвинск/СБ/"
3318;"Сидими/ДВ/"
3317;"Пластун/ДВ/"
3316;"Эгвекинот/ДВ/"
3315;"Бухта Лаврова/ДВ/"
3314;"Малая Кема/ДВ/"
3313;"Уэлен/ДВ/"
3312;"Рыбак/ДВ/"
3311;"Попов о./ДВ/"
3310;"Находк.торговый порт/ДВ/"
3309;"Ука/ДВ/"
3308;"Снежногорск/СБ/"
3307;"Ура-Губа/СБ/"
3306;"Ломоносов/БМ/"
3305;"Вистино/БМ/"
3304;"Каспийск/КБ/"
3303;"Амдерма/СБ/"
3302;"Кулонга/БМ/"
3301;"Бердянск/Украина/"
3300;"Ясенск/Украина/"
3299;"Ялта/ЧМ/"
3298;"Черноморское/ЧМ/"
3297;"Херсон/Украина/"
3296;"Феодосия/ЧМ/"
3295;"Утришек/ЧМ/"
3294;"Туапсе/ЧМ/"
3293;"Темрюк/ЧМ/"
3292;"Тамань/ЧМ/"
3291;"Таганрог/ЧМ/"
3290;"Сухуми/Грузия/"
3289;"Судак/ЧМ/"
3288;"Сочи/ЧМ/"
3287;"Скадовск/Украина/"
3286;"Сипягино/ЧМ/"
3285;"Севастополь/ЧМ/"
3284;"Ростов-на-Дону/ЧМ/"
3283;"Приморско-Ахтарск/ЧМ/"
3282;"Поти/Грузия/"
3281;"Очаков/Украина/"
3280;"Одесса/Украина/"
3279;"Новороссийск/ЧМ/"
3278;"Николаев/Украина/"
3277;"Мариуполь/ЧМ/"
3276;"Ливадия/ЧМ/"
3275;"Керчь/ЧМ/"
3274;"Ильичевск/Украина/"
3273;"Измаил/Украина/"
3272;"Ейск/ЧМ/"
3271;"Евпатория/ЧМ/"
3270;"Геническ/Украина/"
3269;"Геленджик/ЧМ/"
3268;"Вилково/Украина/"
3267;"Батуми/Грузия/"
3266;"Ачуево/ЧМ/"
3265;"Аршинцево/ЧМ/"
3264;"Анапа/ЧМ/"
3263;"Алупка/ЧМ/"
3262;"Азов/ЧМ/"
3261;"Адлер/ЧМ/"
3260;"Шпицберген о./СБ/"
3259;"Харловка/СБ/"
3258;"Умба/СБ/"
3257;"Тюва губа/СБ/"
3256;"Териберка/СБ/"
3255;"Североморск/СБ/"
3254;"Салехард/СБ/"
3253;"Поной/СБ/"
3252;"Полярный/СБ/"
3251;"Печенга/СБ/"
3250;"Петрозаводск/СБ/"
3249;"Онега/СБ/"
3248;"Нарьян-Мар/СБ/"
3247;"Мурманск/СБ/"
3245;"Мезень/СБ/"
3244;"Медвежий о./СБ/"
3243;"Лумбовка/СБ/"
3242;"Колгуев о./СБ/"
3241;"Ковда/СБ/"
3240;"Кемь/СБ/"
3239;"Канин нос м./СБ/"
3238;"Кандалакша/СБ/"
3237;"Иоканка/СБ/"
3236;"Игарка/СБ/"
3235;"Зап. Кильдин/СБ/"
3234;"Дудинка/СБ/"
3233;"Диксон/СБ/"
3232;"Дальние Зеленцы/СБ/"
3231;"Владимир/СБ/"
3230;"Вайгач о./СБ/"
3229;"Бугрино/СБ/"
3228;"Беломорск/СБ/"
3227;"Архангельск/СБ/"
3226;"Форт-Шевченко/Казахстан/"
3225;"Пирсагат/Азербайджан/"
3224;"Махачкала/КБ/"
3223;"Ленкорань/Азербайджан/"
3222;"Красноводск/Туркмения/"
3221;"Дербент/КБ/"
3220;"Гурьев/Казахстан/"
3219;"Гоусан м./Азербайджан/"
3218;"Бекдаш/Туркмения/"
3217;"Баутино/Казахстан/"
3216;"Баку/Азербайджан/"
3215;"Астрахань/КБ/"
3214;"Актау/Казахстан/"
3213;"Яблочный/ДВ/"
3212;"Южно-Сахалинск/ДВ/"
3211;"Южно-Морской/ДВ/"
3210;"Южно-Курильск/ДВ/"
3209;"Эвенск/ДВ/"
3208;"Шмидта о./ДВ/"
3207;"Шикотан о./ДВ/"
3206;"Sinpo (Шестаков) /КНДР/"
3205;"Шахтерск/ДВ/"
3204;"Чумикан/ДВ/"
3203;"Чехов/ДВ/"
3202;"Центральный/ДВ/"
3201;"Хоэ/ДВ/"
3200;"Холмск/ДВ/"
3199;"Хатырка м./ДВ/"
3198;"Хатанга/ДВ/"
3197;"Хасан/ДВ/"
3196;"Хайрюзово/ДВ/"
3195;"Хайлюля/ДВ/"
3194;"Устьевое/ДВ/"
3193;"Усть-Хайрюзово/ДВ/"
3192;"Усть-Камчатск/ДВ/"
3191;"Успения/ДВ/"
3190;"Ульбея/ДВ/"
3189;"Углегорск/ДВ/"
3188;"Тятино/ДВ/"
3187;"Тыр/ДВ/"
3186;"Тымлат/ДВ/"
3185;"Тихая/ДВ/(камч.)"
3184;"Тиличики/ДВ/"
3183;"Тикси/ДВ/"
3182;"Терней/ДВ/"
3181;"Тельновск/ДВ/"
3180;"Тауйск/ДВ/"
3179;"Сусанино/ДВ/"
3178;"Стародубское/ДВ/"
3177;"Спафарьева о./ДВ/"
3176;"Советская/ДВ/"
3175;"Советская Гавань/ДВ/"
3174;"Славянка/ДВ/"
3173;"Славная/ДВ/"
3172;"Сероглазка/ДВ/"
3171;"Северо-Курильск/ДВ/"
3170;"Светлая/ДВ/"
3169;"Рыбновск/ДВ/"
3168;"Русская/ДВ/(камч.)"
3167;"Русаково/ДВ/"
3166;"Рудная пристань/ДВ/"
3165;"Рейдово/ДВ/"
3164;"Пымта/ДВ/"
3163;"Путятина о./ДВ/"
3162;"Провидения бух./ДВ/"
3161;"Преображение/ДВ/"
3160;"Правда/ДВ/"
3159;"Посьет/ДВ/"
3158;"Поронайск/ДВ/"
3157;"Подьяпольск/ДВ/"
3156;"Пионеры/ДВ/"
3155;"Петропавловск-Камч./ДВ/"
3154;"Пенжина у.р./ДВ/"
3153;"Певек/ДВ/"
3152;"Пахача/ДВ/"
3151;"Палана/ДВ/"
3150;"Охотск/ДВ/"
3149;"Островский/ДВ/"
3148;"Оссора/ДВ/"
3147;"Опала/ДВ/"
3146;"Олюторка/ДВ/"
3145;"Ольский (Завьялова о.)/ДВ/"
3144;"Ольга/ДВ/"
3143;"Ола/ДВ/"
3142;"Октябрьский/ДВ/"
3141;"Озерновский/ДВ/"
3140;"Озерная/ДВ/"
3139;"Ноглики/ДВ/"
3138;"Никольское/ДВ/"
3137;"Николаевск-на-Амуре/ДВ/"
3136;"Нижнее Пронге/ДВ/"
3135;"Нерпа/ДВ/"
3134;"Некрасовка/ДВ/"
3133;"Неводское/ДВ/"
3132;"Невельск/ДВ/"
3131;"Находка/ДВ/"
3130;"Наталии бух./ДВ/"
3129;"Надибаидзе/ДВ/"
3128;"Нагаево/ДВ/"
3127;"Мысовский (портпункт)/ДВ/"
3126;"Мыс Шмидта/ДВ/"
3125;"Москальво/ДВ/"
3124;"Моряк-рыболов/ДВ/"
3123;"Моржовая бух./ДВ/"
3122;"Ливадия/ДВ/"
3121;"Мгачи/ДВ/"
3119;"Макаров/ДВ/"
3118;"Маго/ДВ/"
3117;"Магадан/ДВ/"
3116;"Лорино/ДВ/"
3115;"Лифляндия/ДВ/"
3114;"Лаврентия/ДВ/"
3113;"Курильск/ДВ/"
3112;"Крутогорово/ДВ/"
3111;"Кроноки/ДВ/"
3110;"Красногорск/ДВ/"
3109;"Краковка/ДВ/"
3108;"Крабозаводск (порт)/ДВ/"
3107;"Кострома/ДВ/"
3106;"Косточко/ДВ/"
3105;"Корф/ДВ/"
3104;"Корсаков/ДВ/"
3103;"Консервный/ДВ/"
3102;"Командорский/ДВ/"
3101;"Козьмино/ДВ/"
3100;"Князево/ДВ/"
3099;"Китовый/ДВ/"
3097;"Карага/ДВ/"
3096;"Каменский нос/ДВ/"
3095;"Ича/ДВ/"
3094;"Исаенко/ДВ/"
3093;"Иня/ДВ/"
3092;"Инокентьевский/ДВ/"
3091;"Ильпинский м./ДВ/"
3090;"Ивашка/ДВ/"
3089;"Зеленый м./ДВ/"
3088;"Звездная/ДВ/"
3087;"Хасанский МКП (Зарубино)/ДВ/"
3086;"Жупаново/ДВ/"
3085;"Елабуга/ДВ/"
3084;"Душная/ДВ/"
3083;"Дудино/ДВ/"
3082;"Диомид/ДВ/"
3081;"Джигит/ДВ/"
3080;"Девятый вал о./ДВ/"
3079;"Де-Кастри/ДВ/"
3078;"Датта/ДВ/"
3077;"Головнино (Кунашир о.)/ДВ/"
3076;"Глубокая бух./ДВ/"
3075;"Гайдамак м./ДВ/"
3074;"Вывенка/ДВ/"
3073;"Воямполка у.р./ДВ/"
3072;"Вострецово/ДВ/"
3071;"Восточный порт/ДВ/"
3070;"Владимир/ДВ/"
3069;"Владивосток/ДВ/"
3068;"Великая Кема/ДВ/"
